"A00","Cholera"
"V75.28","Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident While engaged in other specified activities"
"V75.29","Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident During unspecified activity"
"V75.3","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in nontraffic accident"
"V75.30","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in nontraffic accident While engaged in sports activity"
"V75.31","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in nontraffic accident While engaged in leisure activity"
"V75.32","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in nontraffic accident While working for income"
"V75.33","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in nontraffic accident While engaged in other types of work"
"V75.34","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V75.38","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in nontraffic accident While engaged in other specified activities"
"V75.39","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in nontraffic accident During unspecified activity"
"V75.4","Bus occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting"
"V75.40","Bus occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While engaged in sports activity"
"V75.41","Bus occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While engaged in leisure activity"
"V75.42","Bus occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While working for income"
"V75.43","Bus occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While engaged in other types of work"
"V75.44","Bus occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While resting, sleeping, eating or engaging in other vital activities"
"V75.48","Bus occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting While engaged in other specified activities"
"V75.49","Bus occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting During unspecified activity"
"V75.5","Bus occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident"
"V75.50","Bus occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident While engaged in sports activity"
"V75.51","Bus occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident While engaged in leisure activity"
"V75.52","Bus occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident While working for income"
"V75.53","Bus occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident While engaged in other types of work"
"V75.54","Bus occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V75.58","Bus occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident While engaged in other specified activities"
"V75.59","Bus occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident During unspecified activity"
"V75.6","Bus occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident"
"V75.60","Bus occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While engaged in sports activity"
"V75.61","Bus occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While engaged in leisure activity"
"V75.62","Bus occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While working for income"
"V75.63","Bus occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While engaged in other types of work"
"V75.64","Bus occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V75.68","Bus occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident While engaged in other specified activities"
"V75.69","Bus occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident During unspecified activity"
"V75.7","Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident"
"V75.70","Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident While engaged in sports activity"
"V75.71","Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident While engaged in leisure activity"
"V75.72","Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident While working for income"
"V75.73","Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident While engaged in other types of work"
"V75.74","Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V75.78","Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident While engaged in other specified activities"
"V75.79","Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident During unspecified activity"
"V75.9","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in traffic accident"
"V75.90","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in traffic accident While engaged in sports activity"
"V75.91","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in traffic accident While engaged in leisure activity"
"V75.92","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in traffic accident While working for income"
"V75.93","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in traffic accident While engaged in other types of work"
"V75.94","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V75.98","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in traffic accident While engaged in other specified activities"
"V75.99","Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in traffic accident During unspecified activity"
"V76","Bus occupant injured in collision with other nonmotor vehicle"
"V76.0","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident"
"V76.00","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While engaged in sports activity"
"V76.01","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While engaged in leisure activity"
"V76.02","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While working for income"
"V76.03","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While engaged in other types of work"
"V76.04","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V76.08","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident While engaged in other specified activities"
"V76.09","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident During unspecified activity"
"V76.1","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident"
"V76.10","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While engaged in sports activity"
"V76.11","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While engaged in leisure activity"
"V76.12","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While working for income"
"V76.13","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While engaged in other types of work"
"V76.14","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V76.18","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident While engaged in other specified activities"
"V76.19","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident During unspecified activity"
"V76.2","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident"
"V76.20","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident While engaged in sports activity"
"V76.21","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident While engaged in leisure activity"
"V76.22","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident While working for income"
"V76.23","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident While engaged in other types of work"
"V76.24","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V76.28","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident While engaged in other specified activities"
"V76.29","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident During unspecified activity"
"V76.3","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in nontraffic accident"
"V76.30","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in nontraffic accident While engaged in sports activity"
"V76.31","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in nontraffic accident While engaged in leisure activity"
"V76.32","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in nontraffic accident While working for income"
"V76.33","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in nontraffic accident While engaged in other types of work"
"V76.34","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V76.38","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in nontraffic accident While engaged in other specified activities"
"V76.39","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in nontraffic accident During unspecified activity"
"V76.4","Bus occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting"
"V76.40","Bus occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While engaged in sports activity"
"V76.41","Bus occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While engaged in leisure activity"
"V76.42","Bus occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While working for income"
"V76.43","Bus occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While engaged in other types of work"
"V76.44","Bus occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While resting, sleeping, eating or engaging in other vital activities"
"V76.48","Bus occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting While engaged in other specified activities"
"V76.49","Bus occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting During unspecified activity"
"V76.5","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident"
"V76.50","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident While engaged in sports activity"
"V76.51","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident While engaged in leisure activity"
"V76.52","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident While working for income"
"V76.53","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident While engaged in other types of work"
"V76.54","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V76.58","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident While engaged in other specified activities"
"V76.59","Bus occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident During unspecified activity"
"V76.6","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident"
"V76.60","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While engaged in sports activity"
"V76.61","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While engaged in leisure activity"
"V76.62","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While working for income"
"V76.63","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While engaged in other types of work"
"V76.64","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V76.68","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident While engaged in other specified activities"
"V76.69","Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident During unspecified activity"
"V76.7","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident"
"V76.70","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident While engaged in sports activity"
"V76.71","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident While engaged in leisure activity"
"V76.72","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident While working for income"
"V76.73","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident While engaged in other types of work"
"V76.74","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V76.78","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident While engaged in other specified activities"
"V76.79","Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident During unspecified activity"
"V76.9","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in traffic accident"
"V76.90","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in traffic accident While engaged in sports activity"
"V76.91","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in traffic accident While engaged in leisure activity"
"V76.92","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in traffic accident While working for income"
"V76.93","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in traffic accident While engaged in other types of work"
"V76.94","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V76.98","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in traffic accident While engaged in other specified activities"
"V76.99","Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in traffic accident During unspecified activity"
"V77","Bus occupant injured in collision with fixed or stationary object"
"V77.0","Bus occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident"
"V77.00","Bus occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident While engaged in sports activity"
"V77.01","Bus occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident While engaged in leisure activity"
"V77.02","Bus occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident While working for income"
"V77.03","Bus occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident While engaged in other types of work"
"V77.04","Bus occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V77.08","Bus occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident While engaged in other specified activities"
"V77.09","Bus occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident During unspecified activity"
"V77.1","Bus occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident"
"V77.10","Bus occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While engaged in sports activity"
"V77.11","Bus occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While engaged in leisure activity"
"V77.12","Bus occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While working for income"
"V77.13","Bus occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While engaged in other types of work"
"V77.14","Bus occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V77.18","Bus occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident While engaged in other specified activities"
"V77.19","Bus occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident During unspecified activity"
"V77.2","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident"
"V77.20","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident While engaged in sports activity"
"V77.21","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident While engaged in leisure activity"
"V77.22","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident While working for income"
"V77.23","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident While engaged in other types of work"
"V77.24","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V77.28","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident While engaged in other specified activities"
"V77.29","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident During unspecified activity"
"V77.3","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in nontraffic accident"
"V77.30","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in nontraffic accident While engaged in sports activity"
"V77.31","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in nontraffic accident While engaged in leisure activity"
"V77.32","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in nontraffic accident While working for income"
"V77.33","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in nontraffic accident While engaged in other types of work"
"V77.34","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V77.38","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in nontraffic accident While engaged in other specified activities"
"V77.39","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in nontraffic accident During unspecified activity"
"V77.4","Bus occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting"
"V77.40","Bus occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting While engaged in sports activity"
"V77.41","Bus occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting While engaged in leisure activity"
"V77.42","Bus occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting While working for income"
"V77.43","Bus occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting While engaged in other types of work"
"V77.44","Bus occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting While resting, sleeping, eating or engaging in other vital activities"
"V77.48","Bus occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting While engaged in other specified activities"
"V77.49","Bus occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting During unspecified activity"
"V77.5","Bus occupant injured in collision with fixed or stationary object: Driver injured in traffic accident"
"V77.50","Bus occupant injured in collision with fixed or stationary object: Driver injured in traffic accident While engaged in sports activity"
"V77.51","Bus occupant injured in collision with fixed or stationary object: Driver injured in traffic accident While engaged in leisure activity"
"V77.52","Bus occupant injured in collision with fixed or stationary object: Driver injured in traffic accident While working for income"
"V77.53","Bus occupant injured in collision with fixed or stationary object: Driver injured in traffic accident While engaged in other types of work"
"V77.54","Bus occupant injured in collision with fixed or stationary object: Driver injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V77.58","Bus occupant injured in collision with fixed or stationary object: Driver injured in traffic accident While engaged in other specified activities"
"V77.59","Bus occupant injured in collision with fixed or stationary object: Driver injured in traffic accident During unspecified activity"
"V77.6","Bus occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident"
"V77.60","Bus occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident While engaged in sports activity"
"V77.61","Bus occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident While engaged in leisure activity"
"V77.62","Bus occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident While working for income"
"V77.63","Bus occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident While engaged in other types of work"
"V77.64","Bus occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V77.68","Bus occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident While engaged in other specified activities"
"V77.69","Bus occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident During unspecified activity"
"V77.7","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident"
"V77.70","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident While engaged in sports activity"
"V77.71","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident While engaged in leisure activity"
"V77.72","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident While working for income"
"V77.73","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident While engaged in other types of work"
"V77.74","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V77.78","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident While engaged in other specified activities"
"V77.79","Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident During unspecified activity"
"V77.9","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in traffic accident"
"V77.90","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in traffic accident While engaged in sports activity"
"V77.91","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in traffic accident While engaged in leisure activity"
"V77.92","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in traffic accident While working for income"
"V77.93","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in traffic accident While engaged in other types of work"
"V77.94","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V77.98","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in traffic accident While engaged in other specified activities"
"V77.99","Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in traffic accident During unspecified activity"
"V78","Bus occupant injured in noncollision transport accident"
"V78.0","Bus occupant injured in noncollision transport accident: Driver injured in nontraffic accident"
"V78.00","Bus occupant injured in noncollision transport accident: Driver injured in nontraffic accident While engaged in sports activity"
"V78.01","Bus occupant injured in noncollision transport accident: Driver injured in nontraffic accident While engaged in leisure activity"
"V78.02","Bus occupant injured in noncollision transport accident: Driver injured in nontraffic accident While working for income"
"V78.03","Bus occupant injured in noncollision transport accident: Driver injured in nontraffic accident While engaged in other types of work"
"V78.04","Bus occupant injured in noncollision transport accident: Driver injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V78.08","Bus occupant injured in noncollision transport accident: Driver injured in nontraffic accident While engaged in other specified activities"
"V78.09","Bus occupant injured in noncollision transport accident: Driver injured in nontraffic accident During unspecified activity"
"V78.1","Bus occupant injured in noncollision transport accident: Passenger injured in nontraffic accident"
"V78.10","Bus occupant injured in noncollision transport accident: Passenger injured in nontraffic accident While engaged in sports activity"
"V78.11","Bus occupant injured in noncollision transport accident: Passenger injured in nontraffic accident While engaged in leisure activity"
"V78.12","Bus occupant injured in noncollision transport accident: Passenger injured in nontraffic accident While working for income"
"V78.13","Bus occupant injured in noncollision transport accident: Passenger injured in nontraffic accident While engaged in other types of work"
"V78.14","Bus occupant injured in noncollision transport accident: Passenger injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V78.18","Bus occupant injured in noncollision transport accident: Passenger injured in nontraffic accident While engaged in other specified activities"
"V78.19","Bus occupant injured in noncollision transport accident: Passenger injured in nontraffic accident During unspecified activity"
"V78.2","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident"
"V78.20","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident While engaged in sports activity"
"V78.21","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident While engaged in leisure activity"
"V78.22","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident While working for income"
"V78.23","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident While engaged in other types of work"
"V78.24","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V78.28","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident While engaged in other specified activities"
"V78.29","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident During unspecified activity"
"V78.3","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in nontraffic accident"
"V78.30","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in nontraffic accident While engaged in sports activity"
"V78.31","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in nontraffic accident While engaged in leisure activity"
"V78.32","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in nontraffic accident While working for income"
"V78.33","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in nontraffic accident While engaged in other types of work"
"V78.34","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V78.38","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in nontraffic accident While engaged in other specified activities"
"V78.39","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in nontraffic accident During unspecified activity"
"V78.4","Bus occupant injured in noncollision transport accident: Person injured while boarding or alighting"
"V78.40","Bus occupant injured in noncollision transport accident: Person injured while boarding or alighting While engaged in sports activity"
"V78.41","Bus occupant injured in noncollision transport accident: Person injured while boarding or alighting While engaged in leisure activity"
"V78.42","Bus occupant injured in noncollision transport accident: Person injured while boarding or alighting While working for income"
"V78.43","Bus occupant injured in noncollision transport accident: Person injured while boarding or alighting While engaged in other types of work"
"V78.44","Bus occupant injured in noncollision transport accident: Person injured while boarding or alighting While resting, sleeping, eating or engaging in other vital activities"
"V78.48","Bus occupant injured in noncollision transport accident: Person injured while boarding or alighting While engaged in other specified activities"
"V78.49","Bus occupant injured in noncollision transport accident: Person injured while boarding or alighting During unspecified activity"
"V78.5","Bus occupant injured in noncollision transport accident: Driver injured in traffic accident"
"V78.50","Bus occupant injured in noncollision transport accident: Driver injured in traffic accident While engaged in sports activity"
"V78.51","Bus occupant injured in noncollision transport accident: Driver injured in traffic accident While engaged in leisure activity"
"V78.52","Bus occupant injured in noncollision transport accident: Driver injured in traffic accident While working for income"
"V78.53","Bus occupant injured in noncollision transport accident: Driver injured in traffic accident While engaged in other types of work"
"V78.54","Bus occupant injured in noncollision transport accident: Driver injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V78.58","Bus occupant injured in noncollision transport accident: Driver injured in traffic accident While engaged in other specified activities"
"V78.59","Bus occupant injured in noncollision transport accident: Driver injured in traffic accident During unspecified activity"
"V78.6","Bus occupant injured in noncollision transport accident: Passenger injured in traffic accident"
"V78.60","Bus occupant injured in noncollision transport accident: Passenger injured in traffic accident While engaged in sports activity"
"V78.61","Bus occupant injured in noncollision transport accident: Passenger injured in traffic accident While engaged in leisure activity"
"V78.62","Bus occupant injured in noncollision transport accident: Passenger injured in traffic accident While working for income"
"V78.63","Bus occupant injured in noncollision transport accident: Passenger injured in traffic accident While engaged in other types of work"
"V78.64","Bus occupant injured in noncollision transport accident: Passenger injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V78.68","Bus occupant injured in noncollision transport accident: Passenger injured in traffic accident While engaged in other specified activities"
"V78.69","Bus occupant injured in noncollision transport accident: Passenger injured in traffic accident During unspecified activity"
"V78.7","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident"
"V78.70","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident While engaged in sports activity"
"V78.71","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident While engaged in leisure activity"
"V78.72","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident While working for income"
"V78.73","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident While engaged in other types of work"
"V78.74","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V78.78","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident While engaged in other specified activities"
"V78.79","Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident During unspecified activity"
"V78.9","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in traffic accident"
"V78.90","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in traffic accident While engaged in sports activity"
"V78.91","Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in traffic accident While engaged in leisure activity"
